instancia,artista,t_lineal,t_binaria
0,Artista_0,0.026093,0.000804
0,Artista_40,0.067117,0.001014
0,Artista_81,0.068823,0.000822
0,Artista_122,0.058535,0.000707
0,Artista_162,0.057999,0.000946
1,Artista_0,0.025828,0.000828
1,Artista_40,0.068508,0.000777
1,Artista_81,0.067004,0.000573
1,Artista_122,0.059872,0.000839
1,Artista_162,0.057795,0.000921
2,Artista_0,0.026854,0.001076
2,Artista_40,0.068927,0.000818
2,Artista_81,0.068668,0.000664
2,Artista_122,0.058340,0.000795
2,Artista_162,0.057217,0.000746
3,Artista_0,0.026629,0.000793
3,Artista_40,0.067914,0.000916
3,Artista_81,0.068446,0.000852
3,Artista_122,0.060434,0.000857
3,Artista_162,0.059699,0.001004
4,Artista_0,0.026204,0.000828
4,Artista_40,0.068736,0.000828
4,Artista_81,0.068967,0.000943
4,Artista_122,0.059570,0.000770
4,Artista_162,0.058225,0.000920
5,Artista_0,0.026841,0.000895
5,Artista_40,0.068062,0.001004
5,Artista_81,0.068241,0.001156
5,Artista_122,0.060085,0.000897
5,Artista_162,0.057867,0.000767
6,Artista_0,0.026354,0.000881
6,Artista_40,0.068212,0.000823
6,Artista_81,0.068332,0.000815
6,Artista_122,0.059251,0.000901
6,Artista_162,0.057836,0.001009
7,Artista_0,0.026238,0.000813
7,Artista_40,0.069438,0.000807
7,Artista_81,0.068510,0.000833
7,Artista_122,0.063948,0.001023
7,Artista_162,0.058786,0.000802
8,Artista_0,0.026078,0.000843
8,Artista_40,0.069606,0.000832
8,Artista_81,0.076012,0.001009
8,Artista_122,0.063636,0.000843
8,Artista_162,0.061585,0.001004
9,Artista_0,0.025965,0.001148
9,Artista_40,0.068053,0.000788
9,Artista_81,0.067899,0.001021
9,Artista_122,0.059799,0.000754
9,Artista_162,0.056845,0.000673
10,Artista_0,0.025839,0.000722
10,Artista_40,0.067237,0.000859
10,Artista_81,0.068042,0.000967
10,Artista_122,0.062679,0.000829
10,Artista_162,0.060038,0.000897
11,Artista_0,0.026783,0.000851
11,Artista_40,0.069290,0.000685
11,Artista_81,0.068384,0.000999
11,Artista_122,0.059086,0.000823
11,Artista_162,0.057608,0.000788
12,Artista_0,0.026384,0.000568
12,Artista_40,0.067888,0.001049
12,Artista_81,0.067796,0.000791
12,Artista_122,0.060994,0.000859
12,Artista_162,0.057931,0.000833
13,Artista_0,0.026796,0.000787
13,Artista_40,0.068572,0.000950
13,Artista_81,0.067166,0.000702
13,Artista_122,0.062105,0.000896
13,Artista_162,0.060064,0.000823
14,Artista_0,0.026151,0.000785
14,Artista_40,0.068481,0.000791
14,Artista_81,0.068595,0.000997
14,Artista_122,0.061659,0.000893
14,Artista_162,0.057090,0.000737
15,Artista_0,0.026437,0.000970
15,Artista_40,0.067741,0.000792
15,Artista_81,0.067176,0.000796
15,Artista_122,0.058936,0.000829
15,Artista_162,0.057098,0.000932
16,Artista_0,0.026623,0.000867
16,Artista_40,0.067361,0.000774
16,Artista_81,0.069668,0.000694
16,Artista_122,0.061110,0.000870
16,Artista_162,0.058638,0.001138
17,Artista_0,0.026027,0.000763
17,Artista_40,0.068346,0.000731
17,Artista_81,0.069148,0.000839
17,Artista_122,0.061136,0.000845
17,Artista_162,0.057996,0.001037
18,Artista_0,0.026488,0.000752
18,Artista_40,0.067591,0.000754
18,Artista_81,0.069225,0.001037
18,Artista_122,0.061176,0.000837
18,Artista_162,0.057859,0.000828
19,Artista_0,0.026745,0.000903
19,Artista_40,0.068780,0.000907
19,Artista_81,0.069347,0.000838
19,Artista_122,0.059011,0.000805
19,Artista_162,0.058064,0.000874
20,Artista_0,0.027010,0.000721
20,Artista_40,0.067313,0.000792
20,Artista_81,0.068322,0.001016
20,Artista_122,0.061844,0.000969
20,Artista_162,0.056135,0.000886
21,Artista_0,0.027260,0.000839
21,Artista_40,0.068458,0.000869
21,Artista_81,0.069420,0.000921
21,Artista_122,0.060220,0.000632
21,Artista_162,0.057969,0.000857
22,Artista_0,0.027782,0.000898
22,Artista_40,0.067386,0.000738
22,Artista_81,0.068509,0.000761
22,Artista_122,0.061759,0.000837
22,Artista_162,0.057656,0.000770
23,Artista_0,0.026917,0.000759
23,Artista_40,0.068409,0.000691
23,Artista_81,0.069234,0.000841
23,Artista_122,0.061029,0.000913
23,Artista_162,0.057302,0.000676
24,Artista_0,0.026303,0.000958
24,Artista_40,0.069077,0.000910
24,Artista_81,0.072646,0.000678
24,Artista_122,0.064416,0.001194
24,Artista_162,0.062726,0.000960
25,Artista_0,0.026407,0.000853
25,Artista_40,0.067927,0.000970
25,Artista_81,0.069784,0.000822
25,Artista_122,0.060913,0.000953
25,Artista_162,0.058339,0.000944
26,Artista_0,0.026711,0.000759
26,Artista_40,0.067788,0.000611
26,Artista_81,0.067840,0.000674
26,Artista_122,0.060955,0.000763
26,Artista_162,0.057227,0.000818
27,Artista_0,0.026478,0.000828
27,Artista_40,0.068123,0.000943
27,Artista_81,0.070470,0.001055
27,Artista_122,0.062854,0.001054
27,Artista_162,0.058962,0.000967
28,Artista_0,0.026996,0.000919
28,Artista_40,0.067171,0.000702
28,Artista_81,0.067901,0.000891
28,Artista_122,0.059847,0.000911
28,Artista_162,0.056345,0.000797
29,Artista_0,0.026430,0.000872
29,Artista_40,0.067875,0.001070
29,Artista_81,0.068003,0.000751
29,Artista_122,0.059397,0.000839
29,Artista_162,0.056160,0.000834
30,Artista_0,0.026646,0.000894
30,Artista_40,0.067336,0.000783
30,Artista_81,0.068438,0.000853
30,Artista_122,0.058207,0.000770
30,Artista_162,0.058661,0.000968
31,Artista_0,0.026174,0.000763
31,Artista_40,0.068611,0.000803
31,Artista_81,0.068779,0.000737
31,Artista_122,0.058733,0.000835
31,Artista_162,0.057499,0.000926
32,Artista_0,0.026070,0.000758
32,Artista_40,0.068538,0.000802
32,Artista_81,0.068428,0.000877
32,Artista_122,0.060056,0.000909
32,Artista_162,0.057608,0.000804
33,Artista_0,0.025961,0.000834
33,Artista_40,0.067357,0.001032
33,Artista_81,0.068512,0.000781
33,Artista_122,0.059889,0.000859
33,Artista_162,0.056490,0.000957
34,Artista_0,0.026272,0.000769
34,Artista_40,0.069119,0.001008
34,Artista_81,0.069051,0.000656
34,Artista_122,0.060146,0.000950
34,Artista_162,0.058106,0.000974
35,Artista_0,0.026873,0.000852
35,Artista_40,0.067878,0.000906
35,Artista_81,0.068281,0.000787
35,Artista_122,0.059406,0.000996
35,Artista_162,0.057013,0.000832
36,Artista_0,0.026564,0.000670
36,Artista_40,0.067463,0.000752
36,Artista_81,0.067448,0.000831
36,Artista_122,0.060953,0.000731
36,Artista_162,0.059571,0.001185
37,Artista_0,0.026522,0.000870
37,Artista_40,0.068269,0.000742
37,Artista_81,0.068387,0.000800
37,Artista_122,0.060879,0.001020
37,Artista_162,0.056816,0.000805
38,Artista_0,0.027043,0.000839
38,Artista_40,0.067924,0.000895
38,Artista_81,0.067724,0.000788
38,Artista_122,0.059785,0.001002
38,Artista_162,0.056348,0.000836
39,Artista_0,0.026375,0.000786
39,Artista_40,0.066892,0.000616
39,Artista_81,0.067748,0.000788
39,Artista_122,0.059845,0.000746
39,Artista_162,0.057764,0.000845
40,Artista_0,0.026796,0.001024
40,Artista_40,0.076404,0.000751
40,Artista_81,0.075021,0.000832
40,Artista_122,0.065547,0.000880
40,Artista_162,0.063662,0.000871
41,Artista_0,0.026713,0.000771
41,Artista_40,0.068256,0.000634
41,Artista_81,0.069767,0.001162
41,Artista_122,0.059350,0.000769
41,Artista_162,0.056911,0.000936
42,Artista_0,0.026383,0.000795
42,Artista_40,0.068347,0.000833
42,Artista_81,0.068674,0.001132
42,Artista_122,0.061105,0.001018
42,Artista_162,0.058845,0.000864
43,Artista_0,0.026476,0.000798
43,Artista_40,0.067801,0.000860
43,Artista_81,0.068525,0.000973
43,Artista_122,0.060033,0.000839
43,Artista_162,0.056626,0.000740
44,Artista_0,0.026922,0.000887
44,Artista_40,0.071321,0.000841
44,Artista_81,0.071042,0.000903
44,Artista_122,0.060217,0.000831
44,Artista_162,0.058017,0.000849
45,Artista_0,0.025962,0.000909
