instancia,insertionSort,selectionSort,mergeSort,quickSort
0,1.740360,2.380848,0.006507,0.004802
1,1.647673,2.691215,0.007192,0.005098
2,1.609886,2.386739,0.008277,0.006058
3,2.328224,2.380199,0.006878,0.004884
4,1.892853,2.347145,0.006065,0.004877
5,1.782059,2.345317,0.006493,0.005539
6,1.806091,2.399162,0.006902,0.005434
7,1.637174,2.338368,0.007343,0.006027
8,1.622086,2.361090,0.006680,0.005215
9,1.604523,2.346405,0.006679,0.004785
10,1.560089,2.360436,0.006417,0.004889
11,2.038220,2.393899,0.006412,0.004982
12,2.093690,2.327295,0.006620,0.004638
13,2.009142,2.307670,0.006340,0.004707
14,1.973371,2.402596,0.006115,0.004917
15,1.817797,2.326708,0.006396,0.005193
16,1.844765,2.331148,0.006653,0.005582
17,1.716563,2.343067,0.006744,0.005264
18,1.685077,2.310625,0.006376,0.005082
19,1.807738,2.392315,0.006885,0.006391
20,1.628502,2.323633,0.006531,0.004728
21,1.657947,2.345236,0.006443,0.004829
22,2.023529,2.337006,0.007690,0.005850
23,1.957698,2.306818,0.006459,0.004538
24,1.907116,2.306729,0.006371,0.005623
25,1.846097,2.336799,0.006535,0.005442
26,1.730341,2.351683,0.006615,0.005178
27,1.819263,2.443840,0.006503,0.005078
28,1.632235,2.295798,0.006439,0.005006
29,1.609997,2.302967,0.006430,0.004600
30,1.689989,2.294426,0.006672,0.004708
31,2.001433,2.299535,0.006107,0.004664
32,1.958862,2.333083,0.006490,0.004436
33,1.911209,2.323015,0.006104,0.004878
34,1.841878,2.309838,0.006598,0.005574
35,1.797549,2.329611,0.006746,0.005830
36,1.802923,2.353809,0.006611,0.005607
37,1.736383,2.317542,0.006773,0.005108
38,1.684390,2.356499,0.006852,0.005241
39,1.716805,2.372196,0.006249,0.005024
40,1.723629,2.310580,0.006449,0.004732
41,1.994327,2.318196,0.006513,0.004912
42,1.984402,2.340274,0.006313,0.004552
43,1.963381,2.332460,0.006323,0.005281
44,1.773448,2.333833,0.006578,0.005302
45,1.722752,2.342346,0.006699,0.006165
46,1.647069,2.298887,0.006466,0.005243
47,1.631556,2.537916,0.006575,0.004991
48,1.622649,2.359311,0.006417,0.004972
49,1.547924,2.344998,0.006977,0.004984
50,1.601918,2.371667,0.006345,0.004876
51,1.897815,2.309006,0.006856,0.004775
52,1.859935,2.333222,0.006188,0.004685
53,1.796926,2.333837,0.006452,0.005395
54,1.708302,2.305625,0.006449,0.005302
55,1.638653,2.340425,0.006517,0.005321
56,1.647898,2.337488,0.006575,0.005288
57,1.601918,2.346361,0.006666,0.005121
58,1.567409,2.298525,0.006596,0.005009
59,1.674807,2.375000,0.006431,0.004916
60,1.921519,2.327135,0.006508,0.004894
61,1.905285,2.345298,0.006833,0.004729
62,1.841574,2.353252,0.006594,0.004527
63,1.765543,2.335282,0.006152,0.005518
64,1.682073,2.353737,0.006779,0.005571
65,1.620240,2.335221,0.006395,0.005151
66,1.557381,2.294972,0.006418,0.005121
67,1.572099,2.296509,0.008391,0.006011
68,1.552939,2.288371,0.006357,0.004799
69,1.648976,2.335416,0.006526,0.005311
70,1.917269,2.343797,0.006565,0.004780
71,1.855504,2.336402,0.006877,0.004675
72,1.792289,2.320068,0.006446,0.005420
73,1.731711,2.324116,0.006398,0.005362
74,1.649788,2.337687,0.006416,0.005234
75,1.643861,2.319414,0.006367,0.005082
76,1.581935,2.414950,0.006762,0.004967
77,1.510512,2.291553,0.006338,0.004652
78,1.559659,2.302488,0.006433,0.004823
79,1.936621,2.320857,0.006331,0.004774
80,1.932694,2.332334,0.006316,0.004904
81,1.896835,2.444795,0.006368,0.004577
82,1.723755,2.323897,0.006322,0.005619
83,1.672126,2.313115,0.006404,0.005277
84,1.622487,2.332499,0.006957,0.005188
85,1.608552,2.348269,0.006696,0.005396
86,1.563278,2.379254,0.006674,0.004918
87,1.619510,2.443223,0.006282,0.005273
88,1.589557,2.376915,0.006448,0.004753
89,1.946886,2.332713,0.006734,0.004689
90,1.918196,2.370763,0.006499,0.004891
91,1.853782,2.342165,0.007400,0.005560
92,1.763224,2.351133,0.005996,0.005476
93,1.731683,2.411067,0.006602,0.005539
94,1.609484,2.338978,0.006454,0.004808
95,1.573054,2.321877,0.006625,0.004817
96,1.617831,2.310639,0.006286,0.004993
97,1.622017,2.337981,0.006492,0.004877
98,1.550158,2.317349,0.006427,0.004730
99,1.916556,2.330485,0.006333,0.006108
